"key","en","fr","ja","vi","zh"
"core/base/system::extra_information","Extra Information","Informations complémentaires","追加情報","Thông tin bổ sung","额外信息"
"core/base/system::copy_report","Copy Report","Copier le rapport","レポートのコピー","Sao chép báo cáo","复制报告"
"core/base/system::package_name","Package Name","Nom du package","パッケージ名","Tên gói","包名"
"core/base/system::dependency_name","Dependency Name","Nom de la dépendance","依存関係名","Tên phụ thuộc","依赖名称"
"core/base/system::server_ip","Server IP","IP du serveur","サーバーIP","IP máy chủ","服务器IP"
"core/base/system::version","Version","Numéro de version","バージョン","Phiên bản","版本"
"core/base/system::cms_version","CMS Version","Version CMS","CMS バージョン","Phiên bản CMS","CMS版本"
"core/base/system::imagick_or_gd_ext","Imagick/GD Ext","Extension Imagick/GD","Imagick/GD 拡張機能","Tiện ích mở rộng Imagick/GD","Imagick/GD 扩展"
"core/base/system::updater","System Updater","Mise à jour du système","システムアップデーター","Trình cập nhật hệ thống","系统更新程序"
"core/base/system::zip","Zip Ext","Extension Zip","郵便番号拡張子","Tiện ích mở rộng Zip","压缩扩展"
"core/base/system::iconv","Iconv Ext","Extension Iconv","アイコン拡張子","Tiện ích mở rộng Iconv","Iconv 扩展"
"core/base/system::memory_limit","Memory limit","Limite de mémoire","メモリ制限","Giới hạn bộ nhớ","内存限制"
"core/base/system::max_execution_time","Max execution time (s)","Temps d'exécution maximum (s)","最大実行時間 (秒)","Thời gian thực thi tối đa (giây)","最大执行时间（秒）"
"core/base/system::allow_url_fopen_enabled","allow_url_fopen enabled","allow_url_fopen activé","allow_url_fopen が有効になりました","allow_url_fopen đã bật","allow_url_fopen 已启用"
"core/base/system::json_ext","JSON Ext","Extension JSON","JSON 拡張機能","Tiện ích mở rộng JSON","JSON 扩展"
"core/base/system::opcache_settings","OPcache Settings","Paramètres OPcache","OPcache 設定","Cài đặt OPcache","OPcache 设置"
"core/base/system::opcache_enabled","OPcache Enabled","OPcache activé","OPcache が有効","OPcache đã bật","OPcache 已启用"
"core/base/system::opcache_memory_consumption","OPcache Memory Consumption","Consommation mémoire OPcache","OPcache のメモリ使用量","Mức tiêu thụ bộ nhớ OPcache","OPcache 内存消耗"
"core/base/system::opcache_max_accelerated_files","Max Accelerated Files","Nombre maximal de fichiers accélérés","最大アクセラレートファイル数","Số tệp tăng tốc tối đa","最大加速文件数"
"core/base/system::opcache_revalidate_freq","Revalidate Frequency","Fréquence de revalidation","再検証頻度","Tần suất xác thực lại","重新验证频率"
"core/base/system::php_configs","PHP Configuration","Configurations PHP","PHP 設定","Cấu hình PHP","PHP 配置"
"core/base/system::post_max_size","POST Max Size","Taille maximale POST","POST の最大サイズ","Kích thước POST tối đa","POST 最大大小"
"core/base/system::upload_max_filesize","Upload Max Filesize","Taille maximale de téléversement","アップロードファイルの最大サイズ","Kích thước tệp tải lên tối đa","上传文件最大大小"
"core/base/system::max_file_uploads","Max File Uploads","Nombre maximal de fichiers téléversés","ファイルアップロードの最大数","Số tệp tải lên tối đa","最大上传文件数"
"core/base/system::max_input_time","Max Input Time","Temps d'entrée maximal","最大入力時間","Thời gian nhập tối đa","最大输入时间"
"core/base/system::max_input_vars","Max Input Vars","Nombre maximal de variables d'entrée","入力変数の最大数","Số biến nhập tối đa","最大输入变量"
"core/base/system::display_errors","Display Errors","Afficher les erreurs","エラーを表示","Hiển thị lỗi","显示错误"
"core/base/system::error_reporting","Error Reporting Level","Niveau de rapport d'erreurs","エラーレポートレベル","Mức độ báo cáo lỗi","错误报告级别"
"core/base/system::date_timezone","Date Timezone","Fuseau horaire de la date","日付のタイムゾーン","Múi giờ ngày tháng","日期时区"
"core/base/system::opcache_memory_used","OPcache Memory Used","Mémoire OPcache utilisée","使用中の OPcache メモリ","Bộ nhớ OPcache đã sử dụng","OPcache 已用内存"
"core/base/system::opcache_cached_scripts","Cached Scripts","Scripts mis en cache","キャッシュされたスクリプト","Các tập lệnh đã lưu cache","已缓存脚本"
"core/base/system::opcache_hit_rate","Cache Hit Rate","Taux de réussite du cache","キャッシュヒット率","Tỷ lệ trúng cache","缓存命中率"
"core/base/system::database_info","Database Information","Informations sur la base de données","データベース情報","Thông tin cơ sở dữ liệu","数据库信息"
"core/base/system::database_driver","Database Driver","Pilote de base de données","データベースドライバー","Trình điều khiển cơ sở dữ liệu","数据库驱动程序"
"core/base/system::database_name","Database Name","Nom de la base de données","データベース名","Tên cơ sở dữ liệu","数据库名称"
"core/base/system::database_version","Database Version","Version de la base de données","データベースのバージョン","Phiên bản cơ sở dữ liệu","数据库版本"
"core/base/system::database_max_connections","Max Connections","Nombre maximal de connexions","最大接続数","Số kết nối tối đa","最大连接数"
"core/base/system::database_charset","Character Set","Jeu de caractères","文字セット","Bộ ký tự","字符集"
"core/base/system::database_collation","Collation","Interclassement","照合順序","Đối chiếu","排序规则"
"core/base/system::something_went_wrong","Something went wrong.","Quelque chose s'est mal passé.","何か問題が発生しました。","Đã xảy ra lỗi.","出现错误。"
"core/base/system::could_not_download_update","Could not download updated file. Please check your license or your internet network.","Impossible de télécharger le fichier de mise à jour. Veuillez vérifier votre licence ou votre connexion Internet.","更新ファイルをダウンロードできませんでした。ライセンスまたはインターネット接続を確認してください。","Không thể tải xuống tệp cập nhật. Vui lòng kiểm tra giấy phép hoặc kết nối mạng của bạn.","无法下载更新文件。请检查您的许可证或网络连接。"
"core/base/system::could_not_update_files_database","Could not update files & database.","Impossible de mettre à jour les fichiers et la base de données.","ファイルとデータベースを更新できませんでした。","Không thể cập nhật tệp và cơ sở dữ liệu.","无法更新文件和数据库。"
"core/base/system::assets_published_successfully","Your asset files have been published successfully.","Vos fichiers d'actifs ont été publiés avec succès.","アセットファイルが正常に公開されました。","Các tệp tài nguyên của bạn đã được xuất bản thành công.","您的资源文件已成功发布。"
"core/base/system::system_cleaned_successfully","Your system has been cleaned up successfully.","Votre système a été nettoyé avec succès.","システムが正常にクリーンアップされました。","Hệ thống của bạn đã được dọn dẹp thành công.","您的系统已成功清理。"
